distance,consume,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip,trip_in_hour,avg_speed
11.8,4.9,21.5,7,SP98,0,0,0,14.5,0.5782,1.106,0.4,29.5
12.3,6.2,21.5,8,SP98,0,0,0,13.5,0.7626000000000001,1.459,1.0166666666666666,12.098360655737705
12.4,4.2,21.5,8,SP98,0,0,0,13.5,0.5208,0.996,0.95,13.05263157894737
12.3,5.7,21.5,8,SP98,0,1,0,13.5,0.7011,1.341,0.8666666666666667,14.192307692307693
2.9,7.9,21.5,9,SP98,1,1,0,12.5,0.2291,0.438,0.3,9.666666666666666
2.1,12.2,21.5,9,SP98,1,1,0,12.5,0.2562,0.49,0.38333333333333336,5.478260869565217
9.8,5.8,21.5,6,SP98,0,0,0,15.5,0.5684,1.087,0.4,24.5
6.8,5.3,21.5,6,SP98,0,0,0,15.5,0.3604,0.689,0.43333333333333335,15.692307692307692
12.4,5.4,21.5,7,SP98,0,0,0,14.5,0.6696000000000001,1.281,0.4,31.0
12.4,4.7,21.5,8,SP98,0,0,0,13.5,0.5828,1.115,0.95,13.05263157894737
11.8,4.6,21.5,6,SP98,0,0,0,15.5,0.5428000000000001,1.038,0.6833333333333333,17.26829268292683
12.3,5.4,21.5,8,SP98,0,0,0,13.5,0.6642,1.271,0.9166666666666666,13.41818181818182
14.0,4.3,21.5,8,SP98,0,0,0,13.5,0.602,1.152,0.6666666666666666,21.0
11.8,4.5,21.5,4,SP98,1,0,0,17.5,0.531,1.016,0.6166666666666667,19.135135135135137
12.3,5.2,21.5,12,SP98,0,0,0,9.5,0.6396000000000001,1.224,0.9166666666666666,13.41818181818182
2.0,6.2,21.5,10,SP98,0,0,0,11.5,0.124,0.237,0.3333333333333333,6.0
13.9,5.1,21.5,6,SP98,0,0,0,15.5,0.7089,1.356,0.48333333333333334,28.758620689655174
9.7,3.9,21.5,8,SP98,0,0,0,13.5,0.37829999999999997,0.724,0.7,13.857142857142858
11.6,5.0,21.5,6,SP98,0,0,0,15.5,0.58,1.11,0.4166666666666667,27.839999999999996
14.2,5.4,21.5,7,SP98,0,0,0,14.5,0.7668,1.467,0.6333333333333333,22.42105263157895
11.8,4.5,21.5,6,SP98,0,0,0,15.5,0.531,1.016,0.65,18.153846153846153
24.8,5.1,21.5,9,SP98,0,0,0,12.5,1.2648,2.42,0.8333333333333334,29.759999999999998
12.4,4.7,21.5,7,SP98,0,0,0,14.5,0.5828,1.115,0.9333333333333333,13.285714285714286
34.8,4.0,20.0,4,SP98,0,0,0,16.0,1.392,2.663,0.4666666666666667,74.57142857142857
14.2,5.4,20.0,6,SP98,0,0,0,14.0,0.7668,1.467,0.6,23.666666666666668
5.2,4.5,20.0,10,SP98,0,0,0,10.0,0.234,0.448,0.65,8.0
10.5,3.6,20.0,10,SP98,0,0,0,10.0,0.37800000000000006,0.723,0.7,15.000000000000002
12.3,5.2,20.0,10,SP98,0,0,0,10.0,0.6396000000000001,1.224,0.95,12.947368421052634
11.8,4.9,20.0,11,SP98,0,0,0,9.0,0.5782,1.106,0.4166666666666667,28.32
12.3,6.2,20.0,11,SP98,0,1,0,9.0,0.7626000000000001,1.459,0.9666666666666667,12.724137931034484
13.2,4.3,20.0,11,SP98,0,1,0,9.0,0.5676,1.086,0.85,15.529411764705882
13.0,5.0,20.0,11,SP98,0,1,0,9.0,0.65,1.243,0.75,17.333333333333332
12.9,5.1,20.0,11,SP98,0,0,0,9.0,0.6578999999999999,1.259,0.5333333333333333,24.1875
13.9,5.6,20.0,8,SP98,0,0,0,12.0,0.7784,1.489,0.36666666666666664,37.909090909090914
11.8,4.3,20.0,6,SP98,0,0,0,14.0,0.5074000000000001,0.971,0.6166666666666667,19.135135135135137
12.2,5.8,20.0,11,SP98,0,0,0,9.0,0.7075999999999999,1.354,1.0,12.2
12.5,4.0,20.0,13,SP98,0,0,0,7.0,0.5,0.956,0.85,14.705882352941178
12.4,4.7,21.5,10,SP98,0,0,0,11.5,0.5828,1.115,0.7166666666666667,17.302325581395348
11.8,5.9,20.0,9,SP98,1,1,0,11.0,0.6962,1.332,0.35,33.714285714285715
11.8,5.3,21.5,11,SP98,0,0,0,10.5,0.6254,1.196,0.8666666666666667,13.615384615384615
12.5,4.2,20.0,11,SP98,0,0,0,9.0,0.525,1.004,0.95,13.157894736842106
15.7,5.3,21.5,9,SP98,0,0,0,12.5,0.8321,1.592,0.55,28.545454545454543
12.9,5.7,21.5,9,SP98,0,0,0,12.5,0.7353000000000001,1.407,0.5833333333333334,22.114285714285714
6.4,4.4,21.5,10,SP98,0,0,0,11.5,0.2816,0.539,0.6166666666666667,10.378378378378379
